movie,year,imdb,metascore,votes
Logan,(2017),8.1,77,577948
Thor: Ragnarok,(2017),7.9,74,510013
Guardians of the Galaxy Vol. 2,(2017),7.6,67,504256
Wonder Woman,(2017),7.4,76,501176
Dunkirk,(2017),7.9,94,481322
Star Wars: Episode VIII - The Last Jedi,(2017),7.1,85,476314
Spider-Man: Homecoming,(2017),7.4,73,453168
Get Out,(I) (2017),7.7,84,421026
Blade Runner 2049,(2017),8.0,81,392810
It,(I) (2017),7.4,69,392455
Baby Driver,(2017),7.6,86,381247
"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,360368
Justice League,(2017),6.4,45,340386
The Shape of Water,(2017),7.3,87,320916
John Wick: Chapter 2,(2017),7.5,75,313558
Coco,(I) (2017),8.4,81,296146
Jumanji: Welcome to the Jungle,(2017),6.9,58,253300
Beauty and the Beast,(2017),7.2,65,245483
Kong: Skull Island,(2017),6.6,62,245295
Kingsman: The Golden Circle,(2017),6.8,44,239231
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39,235158
Alien: Covenant,(2017),6.4,65,232463
War for the Planet of the Apes,(2017),7.4,82,207216
The Greatest Showman,(2017),7.6,48,206230
Life,(I) (2017),6.6,54,187203
The Fate of the Furious,(2017),6.7,56,186258
Lady Bird,(2017),7.4,94,185880
Murder on the Orient Express,(2017),6.5,52,183600
Ghost in the Shell,(2017),6.3,52,181182
Wind River,(2017),7.7,73,175915
King Arthur: Legend of the Sword,(2017),6.8,41,173213
The Hitman's Bodyguard,(2017),6.9,47,166638
Mother!,(2017),6.6,75,164411
Call Me by Your Name,(2017),7.9,93,162221
The Mummy,(2017),5.5,34,158886
Atomic Blonde,(2017),6.7,63,155980
Bright,(I) (2017),6.4,29,151966
"I, Tonya",(2017),7.5,77,148850
Valerian and the City of a Thousand Planets,(2017),6.5,51,144830
Baywatch,(2017),5.5,37,143411
Darkest Hour,(2017),7.4,75,142127
American Made,(2017),7.1,65,137659
Transformers: The Last Knight,(2017),5.2,27,122759
